Model,DPO3014
Firmware Version,2.23
,
Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,0.0002
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,0
Label,
TIME,CH1
-1.00E-01,-0.008
-9.98E-02,0
-9.96E-02,0
-9.94E-02,0
-9.92E-02,0.004
-9.90E-02,0.004
-9.88E-02,0.008
-9.86E-02,0.004
-9.84E-02,0
-9.82E-02,0.004
-9.80E-02,0.004
-9.78E-02,0
-9.76E-02,0.004
-9.74E-02,0
-9.72E-02,0.008
-9.70E-02,0.004
-9.68E-02,0
-9.66E-02,0.012
-9.64E-02,0
-9.62E-02,0.008
-9.60E-02,0
-9.58E-02,0.008
-9.56E-02,0.008
-9.54E-02,0.008
-9.52E-02,0.008
-9.50E-02,0.004
-9.48E-02,0.124
-9.46E-02,0.304
-9.44E-02,0.28
-9.42E-02,0.136
-9.40E-02,0.22
-9.38E-02,0.124
-9.36E-02,0.088
-9.34E-02,0.072
-9.32E-02,0.064
-9.30E-02,0.052
-9.28E-02,0.048
-9.26E-02,0.048
-9.24E-02,0.048
-9.22E-02,0.036
-9.20E-02,0.028
-9.18E-02,0.032
-9.16E-02,0
-9.14E-02,0
-9.12E-02,-0.004
-9.10E-02,0
-9.08E-02,-0.004
-9.06E-02,-0.004
-9.04E-02,-0.004
-9.02E-02,0
-9.00E-02,-0.004
-8.98E-02,0
-8.96E-02,0
-8.94E-02,-0.004
-8.92E-02,-0.008
-8.90E-02,-0.004
-8.88E-02,-0.004
-8.86E-02,-0.004
-8.84E-02,0
-8.82E-02,-0.004
-8.80E-02,-0.004
-8.78E-02,-0.008
-8.76E-02,0
-8.74E-02,-0.004
-8.72E-02,-0.004
-8.70E-02,-0.004
-8.68E-02,0
-8.66E-02,-0.004
-8.64E-02,-0.268
-8.62E-02,-0.264
-8.60E-02,-0.264
-8.58E-02,-0.184
-8.56E-02,-0.22
-8.54E-02,-0.108
-8.52E-02,-0.076
-8.50E-02,-0.068
-8.48E-02,-0.06
-8.46E-02,-0.056
-8.44E-02,-0.048
-8.42E-02,-0.028
-8.40E-02,-0.036
-8.38E-02,-0.036
-8.36E-02,-0.02
-8.34E-02,-0.016
-8.32E-02,0.004
-8.30E-02,0.004
-8.28E-02,0.004
-8.26E-02,0.008
-8.24E-02,0.008
-8.22E-02,0.008
-8.20E-02,0.004
-8.18E-02,0
-8.16E-02,0
-8.14E-02,0.008
-8.12E-02,0.008
-8.10E-02,0.008
-8.08E-02,0.004
-8.06E-02,0
-8.04E-02,0.008
-8.02E-02,0.008
-8.00E-02,0.004
-7.98E-02,0
-7.96E-02,0
-7.94E-02,0.012
-7.92E-02,0.008
-7.90E-02,0
-7.88E-02,0.004
-7.86E-02,0
-7.84E-02,0.008
-7.82E-02,0.008
-7.80E-02,0.316
-7.78E-02,0.28
-7.76E-02,0.168
-7.74E-02,0.236
-7.72E-02,0.172
-7.70E-02,0.096
-7.68E-02,0.068
-7.66E-02,0.06
-7.64E-02,0.052
-7.62E-02,0.044
-7.60E-02,0.052
-7.58E-02,0.044
-7.56E-02,0.032
-7.54E-02,0.036
-7.52E-02,0.036
-7.50E-02,0.028
-7.48E-02,0
-7.46E-02,0.004
-7.44E-02,0
-7.42E-02,-0.004
-7.40E-02,-0.012
-7.38E-02,-0.004
-7.36E-02,-0.004
-7.34E-02,-0.008
-7.32E-02,-0.004
-7.30E-02,0
-7.28E-02,-0.004
-7.26E-02,0.004
